,Episode,CartPosition,CartVelocity,PoleAngle,PoleTipVelocity,Action,QValue
0,0.0,0.03745505819696042,0.20711217520460679,-0.004216478029426506,-0.2782870798947271,1.0,1.0
1,0.0,0.04159730170105255,0.40229402369189915,-0.009782219627321048,-0.5722968909392272,1.0,2.0
2,0.0,0.049643182174890534,0.20731059435187127,-0.02122815744610559,-0.282711667259945,0.0,3.0
3,0.0,0.05378939406192796,0.01249776200071298,-0.026882390791304493,0.0032011321185366204,0.0,4.0
4,0.0,0.05403934930194222,-0.1822285481627859,-0.02681836814893376,0.2872825915958762,0.0,5.0
5,0.0,0.050394778338686504,0.013265388562541891,-0.021072716317016234,-0.013736521872735385,1.0,6.0
6,0.0,0.050660086109937344,-0.18154811343260224,-0.021347446754470943,0.2722239318616662,0.0,7.0
7,0.0,0.0470291238412853,0.013871839873713931,-0.01590296811723762,-0.027114881672619384,1.0,8.0
8,0.0,0.04730656063875958,-0.1810184831881578,-0.016445265750690007,0.2605083616804746,0.0,9.0
9,0.0,0.043686190974996424,-0.3759018603748684,-0.011235098517080516,0.547959208964365,0.0,10.0
10,0.0,0.03616815376749906,-0.18062388959579337,-0.00027591433779321564,0.2517576902060989,1.0,11.0
11,0.0,0.03255567597558319,0.014502000490522832,0.004759239466328762,-0.04101225259664393,1.0,12.0
12,0.0,0.032845715985393646,-0.18068787285302113,0.003938994414395883,0.25316845270519317,0.0,13.0
13,0.0,0.029231958528333223,-0.3758658465407765,0.009002363468499747,0.5470912033641081,0.0,14.0
14,0.0,0.021714641597517695,-0.18087152295437914,0.019944187535781907,0.2572582291428275,1.0,15.0
15,0.0,0.018097211138430113,-0.37627245308079016,0.025089352118638455,0.5561645351192561,0.0,16.0
16,0.0,0.01057176207681431,-0.5717374997387961,0.03621264282102358,0.8566453252738457,0.0,17.0
17,0.0,-0.0008629879179616103,-0.37712718164487097,0.05334554932650049,0.5755654199479118,1.0,18.0
18,0.0,-0.00840553155085903,-0.5729547650089316,0.06485685772545872,0.8845650911596625,0.0,19.0
19,0.0,-0.01986462685103766,-0.3787705581837386,0.08254815954865198,0.6129557313561955,1.0,20.0
20,0.0,-0.027440038014712433,-0.18489332170069028,0.09480727417577589,0.34737175843176205,1.0,21.0
21,0.0,-0.031137904448726238,-0.3812269305940218,0.10175470934441114,0.6683812174281352,0.0,22.0
22,0.0,-0.03876244306060667,-0.18765611245601732,0.11512233369297384,0.4093911572114379,1.0,23.0
23,0.0,-0.04251556530972702,0.00566150574186694,0.12331015683720259,0.15510541410432882,1.0,24.0
24,0.0,-0.04240233519488968,0.1988219466300091,0.12641226511928916,-0.09627384452826088,1.0,25.0
25,0.0,-0.0384258962622895,0.0021362077002529123,0.12448678822872394,0.2334669150770186,0.0,26.0
26,0.0,-0.03838317210828444,0.19527994531883522,0.12915612653026431,-0.017502073460828382,1.0,27.0
27,0.0,-0.03447757320190773,0.3883358441536456,0.12880608506104774,-0.266807540077898,1.0,28.0
28,0.0,-0.026710856318834818,0.19163338479215516,0.12346993425948978,0.06356627386659985,0.0,29.0
29,0.0,-0.022878188622991714,-0.0050226264601328785,0.12474125973682178,0.39251265532368634,0.0,30.0
30,0.0,-0.022978641152194373,0.18812877697441718,0.1325915128432955,0.14161565522877323,1.0,31.0
31,0.0,-0.01921606561270603,0.3811271496791878,0.13542382594787097,-0.10647308771349798,1.0,32.0
32,0.0,-0.011593522619122273,0.18435062333767357,0.13329436419360102,0.22568225079422446,0.0,33.0
33,0.0,-0.0079065101523688,-0.012399523164825343,0.13780800920948552,0.557262147839571,0.0,34.0
34,0.0,-0.008154500615665307,-0.20915960714822718,0.14895325216627694,0.8899916337820817,0.0,35.0
35,0.0,-0.01233769275862985,-0.4059544979129276,0.1667530848419186,1.2255457921623443,0.0,36.0
36,0.0,-0.020456782716888403,-0.6027838518673564,0.19126400068516547,1.5654929788042153,0.0,37.0
37,0.0,-0.03251245975423553,-0.410392699196426,0.22257386026124978,1.338058105226451,1.0,38.0
38,1.0,0.022111942482143515,0.21217887134058777,-0.016979856607827526,-0.3243336429235202,1.0,39.0
39,1.0,0.02635551990895527,0.40753842828722475,-0.02346652946629793,-0.6223225734266147,1.0,40.0
40,1.0,0.03450628847469976,0.6029800609923006,-0.035912980934830224,-0.9223028336099683,1.0,41.0
41,1.0,0.046565889694545774,0.7985683665717411,-0.05435903760702959,-1.2260522653792687,1.0,42.0
42,1.0,0.06253725702598059,0.9943464026322899,-0.07888008291461497,-1.5352592347356113,1.0,43.0
43,1.0,0.0824241850786264,0.8002580014297319,-0.1095852676093272,-1.2681985895484242,0.0,44.0
44,1.0,0.09842934510722104,0.9965955745965033,-0.13494923940029568,-1.5930919882931716,1.0,45.0
45,1.0,0.1183612565991511,1.1930361785690853,-0.16681107916615912,-1.9246286485289046,1.0,46.0
46,1.0,0.1422219801705328,1.0000516654454745,-0.2053036521367372,-1.6879853609754785,0.0,47.0
47,1.0,0.1622230134794423,1.1968706961563964,-0.23906335935624679,-2.036949996155608,1.0,48.0
48,2.0,0.024483288003342672,0.227226693215007,0.045043871977209875,-0.3061480944512811,1.0,49.0
49,2.0,0.029027821867642814,0.4216787914824227,0.038920910088184255,-0.5842919710140317,1.0,50.0
50,2.0,0.03746139769729127,0.22603385579564547,0.02723507066790362,-0.2796069583004703,0.0,51.0
51,2.0,0.04198207481320418,0.420756920563952,0.021642931501894218,-0.5635771144736866,1.0,52.0
52,2.0,0.05039721322448322,0.22533807778923784,0.010371389212420486,-0.26415497557143136,0.0,53.0
53,2.0,0.054903974780267976,0.030069639203145232,0.0050882897009918585,0.031781063071180116,0.0,54.0
54,2.0,0.05550536756433088,-0.16512490948208078,0.005723910962415461,0.3260650465326022,0.0,55.0
55,2.0,0.052202869374689265,-0.3603278865014229,0.012245211893067504,0.6205475361092463,0.0,56.0
56,2.0,0.04499631164466081,-0.16537907052673861,0.02465616261525243,0.3317462379325684,1.0,57.0
57,2.0,0.04168873023412604,0.029383403877594166,0.0312910873739038,0.046939500122098354,1.0,58.0
