,Episode,CartPosition,CartVelocity,PoleAngle,PoleTipVelocity,Action,QValue,Reward
0,0.0,-0.03197685994594082,-0.17824033102493497,-0.01362215659659546,0.3204060048630597,0.0,1.0,1.0
1,0.0,-0.03554166656643952,0.01707294162916459,-0.007214036499334266,0.02345848749140733,1.0,2.0,1.0
2,0.0,-0.03520020773385623,0.21229760182899035,-0.006744866749506119,-0.2714917912173434,1.0,3.0,1.0
3,0.0,-0.030954255697276424,0.40751514652955045,-0.012174702573852988,-0.5662944232752571,1.0,4.0,1.0
4,0.0,-0.022803952766685415,0.21256608636939184,-0.02350059103935813,-0.2774717789073651,0.0,5.0,1.0
5,0.0,-0.01855263103929758,0.01778714858653832,-0.029050026617505432,0.0077074146012808264,0.0,6.0,1.0
6,0.0,-0.01819688806756681,-0.17690640000895663,-0.028895878325479817,0.2910850125352308,0.0,7.0,1.0
7,0.0,-0.021735016067745944,-0.3716046691242753,-0.0230741780747752,0.5745162929786869,0.0,8.0,1.0
8,0.0,-0.02916710945023145,-0.17616695991456274,-0.011583852215201463,0.2746545601723937,1.0,9.0,1.0
9,0.0,-0.032690448648522705,-0.37112173502955503,-0.006090761011753589,0.5636615265801319,0.0,10.0,1.0
10,0.0,-0.04011288334911381,-0.1759148533274706,0.00518246951984905,0.2690659625907424,1.0,11.0,1.0
11,0.0,-0.04363118041566322,0.019132757757952173,0.010563788771663899,-0.021977885887547233,1.0,12.0,1.0
12,0.0,-0.04324852526050418,-0.17613908299197997,0.010124231053912955,0.27401922820416924,0.0,13.0,1.0
13,0.0,-0.04677130692034378,-0.37140401450199645,0.01560461561799634,0.5698780876789645,0.0,14.0,1.0
14,0.0,-0.054199387210383705,-0.5667412983375315,0.027002177371575634,0.8674359108989054,0.0,15.0,1.0
15,0.0,-0.06553421317713434,-0.7622200661244489,0.04435089558955374,1.168484849301123,0.0,16.0,1.0
16,0.0,-0.08077861449962333,-0.5677022574171647,0.0677205925755762,0.8900299409326673,1.0,17.0,1.0
17,0.0,-0.09213265964796662,-0.373561302986507,0.08552119139422953,0.6193806530720506,1.0,18.0,1.0
18,0.0,-0.09960388570769675,-0.179731387425692,0.09790880445567055,0.35481095997415024,1.0,19.0,1.0
19,0.0,-0.10319851345621059,0.013872005890545908,0.10500502365515355,0.09453591023965024,1.0,20.0,1.0
