decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,action_space,qrtm_n_clauses,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
EDF,0.01,1.0,0.99,0,0,0,1,100000,30,300,1,200,2,100,1000,2.75,0,0.0,20200910_142712,16,TRUE,FALSE,S
SEDF,0,0,0,0.3,0.3,0.01,1,100000,25,3000,1,200,2,100,1000,2.75,0,0.0,20200910_150654,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,400,10,200,2,100,1000,2.75,0,0.0,20200910_162907,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,400,10,200,2,100,4000,2.75,5,0.0125,20200910_170749,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,2000,10,200,2,100,4000,2.75,0,0.0,20200910_175848,16,TRUE,FALSE,S
SEDF,0,0,0,0.3,0.3,0.01,1,10000,30,2000,10,200,2,100,4000,2.75,0,0.0,20200910_193725,16,TRUE,FALSE,S
SEDF,0,0,0,0.3,0.3,0.01,1,10000,30,5000,1,200,2,100,4000,2.75,13,0.0026,20200911_111950,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,3500,1,200,2,100,4000,2.75,13,0.0026,20200911_130557,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,5000,1,200,2,8,4000,2.75,11,0.0022,20200915_141340,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,0.9,10000,30,300,1,200,2,100,4000,2.75,0,0.0,20200916_215323,16,TRUE,FALSE,S
SEDF,0,0,0,0.3,0.3,0.1,0.9,10000,30,300,1,200,2,100,4000,2.75,0,0.0,20200916_221112,16,TRUE,FALSE,S
SEDF,0,0,0,0.3,0.3,0.1,1,10000,30,300,1,200,2,2000,1000,2.75,0,0.0,20200923_235011,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,0.9,10000,30,500,1,200,2,4000,2000,2.75,0,0.0,20200924_142429,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,500,1,200,2,4000,2000,2.75,0,0.0,20200924_150637,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.3,0.3,1,10000,30,3000,1,200,2,4000,2000,2.75,0,0.0,20200925_120053,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,3000,1,200,2,400,200,2.75,0,0.0,20200928_100429,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.3,0.3,1,10000,30,3000,1,200,2,400,200,2.75,0,0.0,20200928_111946,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.3,0.3,1,10000,30,300,1,200,2,400,200,2.75,0,0.0,20201006_230535,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,0.9,10000,30,300,1,200,2,400,200,2.75,0,0.0,20201006_232116,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.3,0.3,0.9,10000,30,1000,1,200,2,400,200,2.75,0,0.0,20201006_233732,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,0.9,10000,30,1000,1,200,2,400,200,2.75,0,0.0,20201007_001839,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.3,0.3,1,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201007_085853,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201007_091140,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201007_093746,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.3,0.3,1,10000,30,500,1,200,2,400,200,2.75,0,0.0,20201007_094842,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.3,0.3,1,10000,30,500,1,200,2,1000,500,2.75,0,0.0,20201007_111628,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.3,0.3,1,10000,30,500,1,200,2,1500,750,2.75,0,0.0,20201007_115933,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.3,0.3,1,10000,30,500,1,200,2,1500,750,2.75,0,0.0,20201007_172323,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,500,1,200,2,1500,750,2.75,0,0.0,20201007_174528,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,500,1,200,2,1000,500,2.75,0,0.0,20201010_203948,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.3,0.3,1,10000,30,500,1,200,2,1000,500,2.75,0,0.0,20201010_205852,16,TRUE,FALSE,S
SEDF,0,0,0,0.3,0.1,0.1,1,10000,30,500,1,200,2,1000,500,2.75,0,0.0,20201010_213339,16,TRUE,FALSE,S
SEDF,0,0,0,0.3,0.1,0.01,1,10000,30,500,1,200,2,1000,500,2.75,0,0.0,20201010_215729,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.2,0.01,1,10000,30,500,1,200,2,1000,500,2.75,0,0.0,20201010_221547,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.2,0.01,1,10000,30,500,1,200,2,100,50,2.75,0,0.0,20201010_224238,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.2,0.01,1,10000,30,500,1,200,2,100,50,2.75,0,0.0,20201011_103534,16,TRUE,FALSE,S
EDF,0.1,1.0,0.99,0,0,0,1,10000,30,500,1,200,2,100,50,2.75,0,0.0,20201011_110044,16,TRUE,TRUE,S
SEDF,0,0,0,0.5,0.2,0.01,1,10000,30,500,1,200,2,100,50,2.75,0,0.0,20201011_120946,16,TRUE,TRUE,S
SEDF,0,0,0,0.3,0.2,0.01,1,10000,30,1000,1,200,2,100,50,2.75,0,0.0,20201011_154439,16,TRUE,FALSE,S
SEDF,0,0,0,0.5,0.2,0.01,1,10000,30,500,1,200,2,200,100,2.75,0,0.0,20201012_085208,16,TRUE,TRUE,S
